fig7_lvd_azimuth_deg,rock_int_profile_raw_solid_weighted,fit_scale_to_cm2_s_deg,scaled_profile_cm2_s_deg,paper_fig7_curve_cm2_s_deg
298,160.25042174505478,1.605955809938678e-13,2.573550958465942e-11,3.149758454106e-11
299,,1.605955809938678e-13,,3.04347826087e-11
300,152.26239301411138,1.605955809938678e-13,2.4452667469617855e-11,3.04347826087e-11
301,,1.605955809938678e-13,,3.062801932367e-11
302,176.67055722094503,1.605955809938678e-13,2.8372510781408036e-11,3.323671497585e-11
303,,1.605955809938678e-13,,3.323671497585e-11
304,172.72663274418866,1.605955809938678e-13,2.773913393866741e-11,3.246376811594e-11
305,,1.605955809938678e-13,,3.458937198068e-11
306,176.54595336574783,1.605955809938678e-13,2.8352499952888565e-11,3.458937198068e-11
307,,1.605955809938678e-13,,3.545893719807e-11
308,204.64223538454397,1.605955809938678e-13,3.2864638687464694e-11,3.6038647343e-11
309,,1.605955809938678e-13,,3.565217391304e-11
310,174.83976163662115,1.605955809938678e-13,2.8078493100862534e-11,3.565217391304e-11
311,,1.605955809938678e-13,,3.51690821256e-11
312,215.33665079312263,1.605955809938678e-13,3.4582114543395156e-11,3.68115942029e-11
313,,1.605955809938678e-13,,3.68115942029e-11
314,218.8013076652411,1.605955809938678e-13,3.5138523126717415e-11,3.690821256039e-11
315,,1.605955809938678e-13,,4e-11
316,198.41096976964124,1.605955809938678e-13,3.1863924965712276e-11,4e-11
317,,1.605955809938678e-13,,4.07729468599e-11
318,233.8031748052891,1.605955809938678e-13,3.754775669606624e-11,4.31884057971e-11
319,,1.605955809938678e-13,,4.531400966184e-11
320,234.60882999067826,1.605955809938678e-13,3.7677141358644534e-11,4.531400966184e-11
321,,1.605955809938678e-13,,4.666666666667e-11
322,255.8201484187321,1.605955809938678e-13,4.1083585365243774e-11,4.917874396135e-11
323,,1.605955809938678e-13,,4.917874396135e-11
324,267.37061341317235,1.605955809938678e-13,4.293853900177524e-11,5.217391304348e-11
325,,1.605955809938678e-13,,5.256038647343e-11
326,285.9635932811591,1.605955809938678e-13,4.592448940608186e-11,5.256038647343e-11
327,,1.605955809938678e-13,,5.458937198068e-11
328,309.3384878288873,1.605955809938678e-13,4.9678394176644666e-11,5.642512077295e-11
329,,1.605955809938678e-13,,5.642512077295e-11
330,330.114244329178,1.605955809938678e-13,5.3014888862395976e-11,5.642512077295e-11
331,,1.605955809938678e-13,,5.855072463768e-11
332,318.5265489568814,1.605955809938678e-13,5.115395619170205e-11,5.816425120773e-11
333,,1.605955809938678e-13,,5.816425120773e-11
334,376.74563864614504,1.605955809938678e-13,6.050368472528344e-11,6.048309178744e-11
335,,1.605955809938678e-13,,6.106280193237e-11
336,370.69429170170235,1.605955809938678e-13,5.95318651469452e-11,6.106280193237e-11
337,,1.605955809938678e-13,,6.193236714976e-11
338,364.25303565870144,1.605955809938678e-13,5.84974278903892e-11,6.415458937198e-11
339,,1.605955809938678e-13,,6.415458937198e-11
340,382.3852516889445,1.605955809938678e-13,6.140938165847242e-11,6.521739130435e-11
341,,1.605955809938678e-13,,6.763285024155e-11
342,375.0063109852473,1.605955809938678e-13,6.022435638904286e-11,6.763285024155e-11
