tower_id,column_id,column_name,level_id,module_id,counter_in_module,counter_id,x_center_m,y_center_m,z_center_m,x_lo_m,x_hi_m,y_lo_m,y_hi_m,z_lo_m,z_hi_m
1,4,C4,6,27,4,212,8.6348,3.87,8.272,8.3723,8.8972,3.096,4.644,7.52,9.024
1,4,C4,6,27,5,213,8.8972,2.322,8.272,8.6348,9.1597,1.548,3.096,7.52,9.024
1,4,C4,6,27,6,214,8.6348,2.322,8.272,8.3723,8.8972,1.548,3.096,7.52,9.024
1,4,C4,6,27,7,215,8.6348,0.774,8.272,8.3723,8.8972,0.0,1.548,7.52,9.024
1,4,C4,6,27,8,216,8.8972,0.774,8.272,8.6348,9.1597,0.0,1.548,7.52,9.024
1,4,C4,7,28,1,217,8.8972,5.418,9.776,8.6348,9.1597,4.644,6.192,9.024,10.528
1,4,C4,7,28,2,218,8.6348,5.418,9.776,8.3723,8.8972,4.644,6.192,9.024,10.528
1,4,C4,7,28,3,219,8.8972,3.87,9.776,8.6348,9.1597,3.096,4.644,9.024,10.528
1,4,C4,7,28,4,220,8.6348,3.87,9.776,8.3723,8.8972,3.096,4.644,9.024,10.528
1,4,C4,7,28,5,221,8.8972,2.322,9.776,8.6348,9.1597,1.548,3.096,9.024,10.528
1,4,C4,7,28,6,222,8.6348,2.322,9.776,8.3723,8.8972,1.548,3.096,9.024,10.528
1,4,C4,7,28,7,223,8.6348,0.774,9.776,8.3723,8.8972,0.0,1.548,9.024,10.528
1,4,C4,7,28,8,224,8.8972,0.774,9.776,8.6348,9.1597,0.0,1.548,9.024,10.528
1,5,C5,1,29,1,225,11.6442,5.418,0.752,11.3818,11.9067,4.644,6.192,0.0,1.504
1,5,C5,1,29,2,226,11.3818,5.418,0.752,11.1193,11.6442,4.644,6.192,0.0,1.504
1,5,C5,1,29,3,227,11.6442,3.87,0.752,11.3818,11.9067,3.096,4.644,0.0,1.504
1,5,C5,1,29,4,228,11.3818,3.87,0.752,11.1193,11.6442,3.096,4.644,0.0,1.504
1,5,C5,1,29,5,229,11.6442,2.322,0.752,11.3818,11.9067,1.548,3.096,0.0,1.504
1,5,C5,1,29,6,230,11.3818,2.322,0.752,11.1193,11.6442,1.548,3.096,0.0,1.504
1,5,C5,1,29,7,231,11.3818,0.774,0.752,11.1193,11.6442,0.0,1.548,0.0,1.504
1,5,C5,1,29,8,232,11.6442,0.774,0.752,11.3818,11.9067,0.0,1.548,0.0,1.504
1,5,C5,2,30,1,233,11.6442,5.418,2.256,11.3818,11.9067,4.644,6.192,1.504,3.008
1,5,C5,2,30,2,234,11.3818,5.418,2.256,11.1193,11.6442,4.644,6.192,1.504,3.008
1,5,C5,2,30,3,235,11.6442,3.87,2.256,11.3818,11.9067,3.096,4.644,1.504,3.008
1,5,C5,2,30,4,236,11.3818,3.87,2.256,11.1193,11.6442,3.096,4.644,1.504,3.008
1,5,C5,2,30,5,237,11.6442,2.322,2.256,11.3818,11.9067,1.548,3.096,1.504,3.008
1,5,C5,2,30,6,238,11.3818,2.322,2.256,11.1193,11.6442,1.548,3.096,1.504,3.008
1,5,C5,2,30,7,239,11.3818,0.774,2.256,11.1193,11.6442,0.0,1.548,1.504,3.008
1,5,C5,2,30,8,240,11.6442,0.774,2.256,11.3818,11.9067,0.0,1.548,1.504,3.008
1,5,C5,3,31,1,241,11.6442,5.418,3.76,11.3818,11.9067,4.644,6.192,3.008,4.512
1,5,C5,3,31,2,242,11.3818,5.418,3.76,11.1193,11.6442,4.644,6.192,3.008,4.512
1,5,C5,3,31,3,243,11.6442,3.87,3.76,11.3818,11.9067,3.096,4.644,3.008,4.512
1,5,C5,3,31,4,244,11.3818,3.87,3.76,11.1193,11.6442,3.096,4.644,3.008,4.512
1,5,C5,3,31,5,245,11.6442,2.322,3.76,11.3818,11.9067,1.548,3.096,3.008,4.512
1,5,C5,3,31,6,246,11.3818,2.322,3.76,11.1193,11.6442,1.548,3.096,3.008,4.512
1,5,C5,3,31,7,247,11.3818,0.774,3.76,11.1193,11.6442,0.0,1.548,3.008,4.512
1,5,C5,3,31,8,248,11.6442,0.774,3.76,11.3818,11.9067,0.0,1.548,3.008,4.512
