bin_index,azimuth_lo_deg,azimuth_hi_deg,azimuth_center_deg,zenith_lo_deg,zenith_hi_deg,zenith_center_deg,slant_rock_m,intensity_raw,solid_angle_sr,fig7_lvd_azimuth_center_deg
228,117.7,124.6,121.15,32.0,36.0,34.0,4532.0,144.0,0.004700426533697981,281.85
229,124.6,131.5,128.05,32.0,36.0,34.0,4773.0,123.0,0.004700426533697991,274.95
230,131.5,138.5,135.0,32.0,36.0,34.0,4920.0,91.0,0.00476854865737477,268.0
231,138.5,145.4,141.95,32.0,36.0,34.0,4791.0,102.0,0.004700426533697991,261.05
232,145.4,152.3,148.85000000000002,32.0,36.0,34.0,4531.0,163.0,0.004700426533697991,254.14999999999998
233,152.3,159.2,155.75,32.0,36.0,34.0,4256.0,237.0,0.004700426533697972,247.25
234,159.2,166.2,162.7,32.0,36.0,34.0,3981.0,376.0,0.00476854865737477,240.3
235,166.2,173.1,169.64999999999998,32.0,36.0,34.0,3788.0,470.0,0.004700426533697991,233.35000000000002
236,173.1,180.0,176.55,32.0,36.0,34.0,3657.0,542.0,0.004700426533697991,226.45
237,180.0,186.9,183.45,32.0,36.0,34.0,3556.0,663.0,0.004700426533697991,219.55
238,186.9,193.8,190.35000000000002,32.0,36.0,34.0,3468.0,778.0,0.004700426533697991,212.64999999999998
239,193.8,200.8,197.3,32.0,36.0,34.0,3506.0,764.0,0.00476854865737477,205.7
240,200.8,207.7,204.25,32.0,36.0,34.0,3588.0,707.0,0.004700426533697972,198.75
241,207.7,214.6,211.14999999999998,32.0,36.0,34.0,3662.0,711.0,0.004700426533697991,191.85000000000002
242,214.6,221.5,218.05,32.0,36.0,34.0,3755.0,630.0,0.004700426533697991,184.95
243,221.5,228.5,225.0,32.0,36.0,34.0,3803.0,543.0,0.00476854865737477,178.0
244,228.5,235.4,231.95,32.0,36.0,34.0,3775.0,556.0,0.004700426533697991,171.05
245,235.4,242.3,238.85000000000002,32.0,36.0,34.0,3729.0,650.0,0.004700426533697991,164.14999999999998
246,242.3,249.2,245.75,32.0,36.0,34.0,3774.0,582.0,0.004700426533697972,157.25
247,249.2,256.2,252.7,32.0,36.0,34.0,3840.0,474.0,0.00476854865737477,150.3
248,256.2,263.1,259.65,32.0,36.0,34.0,3911.0,436.0,0.004700426533698011,143.35000000000002
249,263.1,270.0,266.55,32.0,36.0,34.0,3908.0,356.0,0.004700426533697972,136.45
250,270.0,276.9,273.45,32.0,36.0,34.0,3837.0,443.0,0.004700426533697972,129.55
251,276.9,283.8,280.35,32.0,36.0,34.0,3692.0,514.0,0.004700426533698011,122.64999999999998
252,283.8,290.8,287.3,32.0,36.0,34.0,3522.0,656.0,0.00476854865737477,115.69999999999999
253,290.8,297.7,294.25,32.0,36.0,34.0,3385.0,736.0,0.004700426533697972,108.75
254,297.7,304.6,301.15,32.0,36.0,34.0,3317.0,701.0,0.004700426533698011,101.85000000000002
255,304.6,311.5,308.05,32.0,36.0,34.0,3252.0,802.0,0.004700426533697972,94.94999999999999
256,311.5,318.5,315.0,32.0,36.0,34.0,3229.0,918.0,0.00476854865737477,88.0
257,318.5,325.4,321.95,32.0,36.0,34.0,3200.0,921.0,0.004700426533697972,81.05000000000001
258,325.4,332.3,328.85,32.0,36.0,34.0,3170.0,998.0,0.004700426533698011,74.14999999999998
259,332.3,339.2,335.75,32.0,36.0,34.0,3164.0,1009.0,0.004700426533697972,67.25
260,339.2,346.2,342.7,32.0,36.0,34.0,3158.0,1002.0,0.00476854865737477,60.30000000000001
261,346.2,353.1,349.65,32.0,36.0,34.0,3170.0,1095.0,0.004700426533698011,53.35000000000002
262,353.1,360.0,356.55,32.0,36.0,34.0,3176.0,1066.0,0.004700426533697972,46.44999999999999
263,0.0,6.3,3.15,36.0,40.0,38.0,3321.0,904.0,0.004725078796611755,39.85
264,6.3,12.6,9.45,36.0,40.0,38.0,3346.0,892.0,0.004725078796611755,33.55
265,12.6,18.9,15.75,36.0,40.0,38.0,3378.0,837.0,0.004725078796611755,27.25
266,18.9,25.3,22.1,36.0,40.0,38.0,3411.0,780.0,0.004800080047351625,20.9
267,25.3,31.6,28.450000000000003,36.0,40.0,38.0,3430.0,813.0,0.0047250787966117555,14.549999999999997
268,31.6,37.9,34.75,36.0,40.0,38.0,3453.0,801.0,0.004725078796611753,8.25
269,37.9,44.2,41.05,36.0,40.0,38.0,3495.0,805.0,0.004725078796611758,1.9500000000000028
270,44.2,50.5,47.35,36.0,40.0,38.0,3526.0,702.0,0.004725078796611753,355.65
271,50.5,56.8,53.65,36.0,40.0,38.0,3640.0,526.0,0.004725078796611753,349.35
272,56.8,63.2,60.0,36.0,40.0,38.0,3745.0,484.0,0.004800080047351629,343.0
273,63.2,69.5,66.35,36.0,40.0,38.0,3768.0,473.0,0.004725078796611753,336.65
